ID,show_title,confirmation_date,character_name,race,gender,orientation,role,representation
tt7736544,3Below: Tales of Arcadia,7/12/2019,Shannon Longhannon,Blanco,Mujer Cis,Lesbiana,Personaje Recurrente,Explícito
tt1305826,Adventure Time,5/17/2010,Princess Bubblegum,N/A,Mujer Cis,Indeterminado,Personaje Recurrente,Explícito
tt1305826,Adventure Time,4/5/2010,Marceline the Vampire Queen,N/A,Mujer Cis,Indeterminado,Personaje Recurrente,Explícito
tt1305826,Adventure Time,4/26/2010,BMO,N/A,Agénero,Indeterminado,Personaje Recurrente,Explícito
tt11165358,Adventure Time: Distant Lands,6/25/2020,Y5,N/A,Mujer Cis,Ambiguo,Personaje Recurrente,Implícito
tt1790914,Allen Gregory,10/30/2011,Jeremy De Longpre,Blanco,Hombre Cis,Bisexual,Personaje Recurrente,Explícito
tt1790914,Allen Gregory,10/30/2011,Richard De Longpre,Blanco,Hombre Cis,Gay,Personaje Recurrente,Explícito
tt0397306,American Dad!,5/1/2005,Terry Bates,Blanco,Hombre Cis,Gay,Personaje Recurrente,Explícito
tt0397306,American Dad!,5/1/2005,Greg Corbin,Blanco,Hombre Cis,Gay,Personaje Recurrente,Explícito
tt0397306,American Dad!,2/6/2005,Roger,N/A,Agénero,Pansexual,Personaje Principal,Explícito
tt8050740,Amphibia,10/30/2021,Ally,POC,Mujer Cis,Pansexual,Personaje Invitado,Explícito
tt8050740,Amphibia,10/30/2021,Jess,POC,Mujer Cis,Bisexual,Personaje Invitado,Explícito
tt11126994,Arcane,11/13/2021,Caitlyn Kiramman,Blanco,Mujer Cis,Lesbiana,Personaje Principal,Implícito
tt11126994,Arcane,11/6/2021,Vi,Blanco,Mujer Cis,Lesbiana,Personaje Principal,Implícito
tt1486217,Archer,2/3/2011,Ray Gillette,Blanco,Hombre Cis,Gay,Personaje Principal,Explícito
tt1486217,Archer,9/17/2009,Woodhouse,Blanco,Hombre Cis,Gay,Personaje Recurrente,Implícito
tt1486217,Archer,9/17/2009,Pam Poovey,Blanco,Mujer Cis,Bisexual,Personaje Principal,Explícito
tt0169414,Arthur,5/13/2019,Nigel Ratburn,N/A,Hombre Cis,Gay,Personaje Recurrente,Explícito
tt4163486,Bee and PuppyCat,7/11/2013,Toast,Blanco,Mujer Cis,Lesbiana,Personaje Invitado,Explícito
tt7165904,Big City Greens,6/27/2018,Terry,N/A,Hombre Cis,Gay,Personaje Recurrente,Implícito
tt7165904,Big City Greens,6/27/2018,Alexander,N/A,Hombre Cis,Gay,Personaje Recurrente,Implícito
tt6524350,Big Mouth,9/29/2019,Matthew MacDell,Blanco,Hombre Cis,Gay,Personaje Recurrente,Explícito
tt6524350,Big Mouth,10/4/2019,Jay Bilzerian,POC,Hombre Cis,Bisexual,Personaje Principal,Explícito
tt6524350,Big Mouth,10/4/2019,Aiden,Blanco,Hombre Cis,Gay,Personaje Recurrente,Explícito
tt6524350,Big Mouth,9/29/2019,Dina Reznick,Blanco,Mujer Cis,Lesbiana,Personaje Recurrente,Explícito
tt6524350,Big Mouth,9/29/2019,Shannon Glaser,Blanco,Mujer Cis,Bisexual,Personaje Recurrente,Explícito
tt6524350,Big Mouth,10/4/2019,Ali,POC,Mujer Cis,Pansexual,Personaje Recurrente,Explícito
tt6524350,Big Mouth,11/5/2021,Jessi Glaser,Blanco,Mujer Cis,Bisexual,Personaje Principal,Explícito
tt6524350,Big Mouth,12/5/2020,Natalie,Blanco,Mujer Trans,Heterosexual,Personaje Invitado,Explícito
tt1561755,Bob's Burgers,12/10/2017,Dalton Crespin,Blanco,Hombre Cis,Gay,Personaje Invitado,Explícito
tt1561755,Bob's Burgers,1/14/2018,Nat Kinkle,Blanco,Mujer Cis,Lesbiana,Personaje Invitado,Explícito
tt1561755,Bob's Burgers,3/6/2011,Marbles,Blanco,Mujer Trans,Indeterminado,Personaje Invitado,Explícito
tt1561755,Bob's Burgers,3/6/2011,Marshmallow,POC,Mujer Trans,Indeterminado,Personaje Recurrente,Explícito
tt3398228,BoJack Horseman,9/8/2017,Hollyhock's fathers,N/A,Hombre Cis,Poliamoroso,Personaje Recurrente,Explícito
tt3398228,BoJack Horseman,7/22/2016,Todd Chavez,Blanco,Hombre Cis,Asexual,Personaje Principal,Explícito
tt3398228,BoJack Horseman,8/22/2014,Herb Kazzaz,Blanco,Hombre Cis,Gay,Personaje Recurrente,Explícito
tt3398228,BoJack Horseman,10/25/2019,Doctor Champ,N/A,Hombre Cis,Gay,Personaje Recurrente,Explícito
tt3398228,BoJack Horseman,8/22/2014,Kelsey Jannings,Blanco,Mujer Cis,Lesbiana,Personaje Recurrente,Explícito
tt3398228,BoJack Horseman,9/14/2018,Dr. Indria Dadyshue,POC,Mujer Cis,Lesbiana,Personaje Invitado,Explícito
tt3398228,BoJack Horseman,9/14/2018,Mary-Beth,POC,Mujer Cis,Lesbiana,Personaje Invitado,Explícito
tt2474952,Bravest Warriors,1/20/2013,Plum,N/A,Mujer Cis,Bisexual,Personaje Principal,Implícito
tt2022713,Brickleberry,10/9/2012,Connie Cunaman,Blanco,Mujer Cis,Lesbiana,Personaje Principal,Explícito
tt7042146,Carmen Sandiego,1/18/2019,Le Chevre,POC,Hombre Cis,Gay,Personaje Secundario,Implícito
tt7042146,Carmen Sandiego,1/18/2019,El Topo,POC,Hombre Cis,Gay,Personaje Secundario,Implícito
tt6517102,Castlevania,7/7/2017,Alucard,Blanco,Hombre Cis,Bisexual,Personaje Principal,Explícito
tt6517102,Castlevania,3/5/2020,Taka,POC,Hombre Cis,Bisexual,Personaje Recurrente,Explícito
tt6517102,Castlevania,3/5/2020,Striga,Blanco,Mujer Cis,Lesbiana,Personaje Recurrente,Implícito
tt6517102,Castlevania,3/5/2020,Morana,POC,Mujer Cis,Lesbiana,Personaje Recurrente,Implícito
tt10919290,Centaurworld,7/30/2021,Splenbib,N/A,Hombre Cis,Gay,Personaje Recurrente,Implícito
tt10919290,Centaurworld,7/30/2021,Zulius,N/A,Hombre Cis,Gay,Personaje Principal,Implícito
tt10919290,Centaurworld,7/30/2021,Ched,N/A,Hombre Cis,Gay,Personaje Principal,Explícito
tt15125616,Chicago Party Aunt,9/17/2021,Daniel,Blanco,Hombre Cis,Gay,Personaje Principal,Explícito
tt3221268,Chozen,1/13/2014,Chozen,Blanco,Hombre Cis,Gay,Personaje Principal,Explícito
tt3221268,Chozen,1/13/2014,Hunter,Blanco,Hombre Cis,Gay,Personaje Principal,Explícito
tt10380896,City of Ghosts,3/5/2021,Thomas,POC,No Binario,Indeterminado,Personaje Principal,Explícito
tt3061050,Clarence,10/23/2014,Kevin,Blanco,Hombre Cis,Gay,Personaje Recurrente,Explícito
tt3061050,Clarence,12/4/2014,Sue Randell,Blanco,Mujer Cis,Indeterminado,Personaje Recurrente,Explícito
tt3061050,Clarence,12/4/2014,EJ Randell,Blanco,Mujer Cis,Indeterminado,Personaje Recurrente,Explícito
tt7713450,Craig of the Creek,11/8/2018,Raj,POC,Hombre Cis,Gay,Personaje Recurrente,Implícito
tt7713450,Craig of the Creek,11/8/2018,Shawn,Blanco,Hombre Cis,Gay,Personaje Recurrente,Implícito
tt7713450,Craig of the Creek,8/3/2019,Jasmine Williams,POC,Mujer Cis,Lesbiana,Personaje Recurrente,Explícito
tt7713450,Craig of the Creek,3/31/2018,Isabella Alvarado/Stacks,POC,Mujer Cis,Lesbiana,Personaje Recurrente,Implícito
tt7713450,Craig of the Creek,4/6/2018,Laura Mercer,Blanco,Mujer Cis,Lesbiana,Personaje Recurrente,Explícito
tt7713450,Craig of the Creek,4/16/2018,Tabitha,Blanco,Mujer Cis,Lesbiana,Personaje Recurrente,Explícito
tt7713450,Craig of the Creek,3/30/2018,Kelsey Pokoly,Blanco,Mujer Cis,Lesbiana,Personaje Principal,Implícito
tt7713450,Craig of the Creek,4/16/2018,Courtney,Blanco,Mujer Cis,Lesbiana,Personaje Recurrente,Explícito
tt7713450,Craig of the Creek,12/16/2019,Angel Jose,POC,Agénero,Queer,Personaje Recurrente,Explícito
tt5120600,Danger & Eggs,6/30/2017,Reina,POC,Mujer Cis,Queer,Personaje Recurrente,Explícito
tt5120600,Danger & Eggs,6/30/2017,Milo,POC,No Binario,Indeterminado,Personaje Invitado,Explícito
tt5120600,Danger & Eggs,6/30/2017,The Mayor,POC,Mujer Trans,Indeterminado,Personaje Recurrente,Implícito
tt5120600,Danger & Eggs,6/30/2017,D.D. Danger,Blanco,Indeterminado,Queer,Personaje Principal,Explícito
tt5363918,Disenchantment,8/17/2018,Sorcerio,Blanco,Hombre Cis,Gay,Personaje Recurrente,Implícito
tt5363918,Disenchantment,8/17/2018,Odval,POC,Hombre Cis,Gay,Personaje Recurrente,Implícito
tt5363918,Disenchantment,8/17/2018,Queen Bean,Blanco,Mujer Cis,Bisexual,Personaje Principal,Explícito
tt1710295,Doc McStuffins,3/23/2012,Thea,POC,Mujer Cis,Lesbiana,Personaje Invitado,Explícito
tt1710295,Doc McStuffins,3/23/2012,Edie,Blanco,Mujer Cis,Lesbiana,Personaje Invitado,Explícito
tt14069590,Dota: Dragon's Blood,3/25/2021,Fymrym,Blanco,Mujer Cis,Bisexual,Personaje Principal,Explícito
tt0386180,Drawn Together,10/27/2004,Xandir P. Whifflebottom,N/A,Hombre Cis,Gay,Personaje Principal,Explícito
tt0386180,Drawn Together,10/27/2004,Ling-Ling,POC,Hombre Cis,Bisexual,Personaje Principal,Explícito
tt0386180,Drawn Together,11/17/2004,Captain Leslie Hero,Blanco,Hombre Cis,Pansexual,Personaje Principal,Implícito
tt0386180,Drawn Together,10/27/2004,Foxxy Love,POC,Mujer Cis,Bisexual,Personaje Principal,Explícito
tt5531466,DuckTales (2017),4/4/2020,Indy Sabrewing,N/A,Hombre Cis,Indeterminado,Personaje Invitado,Explícito
